Week,Index,SearchWord,Category
2022-03-27,4,Florence,All
2022-04-03,4,Florence,All
2022-04-17,4,Florence,All
2022-04-24,4,Florence,All
2022-05-01,4,Florence,All
2022-05-08,4,Florence,All
2022-05-15,4,Florence,All
2022-05-22,4,Florence,All
2022-06-05,4,Florence,All
2022-06-19,4,Florence,All
2022-07-17,4,Florence,All
2022-07-24,4,Florence,All
2022-07-31,4,Florence,All
2022-08-07,4,Florence,All
2022-08-14,4,Florence,All
2022-08-21,4,Florence,All
2022-08-28,4,Florence,All
2022-09-11,4,Florence,All
2022-09-18,4,Florence,All
2022-09-25,4,Florence,All
2022-10-02,4,Florence,All
2022-10-09,4,Florence,All
2022-10-23,4,Florence,All
2022-10-30,4,Florence,All
2022-11-06,4,Florence,All
2022-11-13,4,Florence,All
2022-11-20,4,Florence,All
2023-01-01,4,Florence,All
2023-01-08,4,Florence,All
2018-02-11,2,Croatia,All
2018-10-21,2,Croatia,All
2018-10-28,2,Croatia,All
2018-11-04,2,Croatia,All
2018-11-25,2,Croatia,All
2018-12-02,2,Croatia,All
2018-12-09,2,Croatia,All
2018-12-16,2,Croatia,All
2018-12-23,2,Croatia,All
2019-10-20,2,Croatia,All
2019-10-27,2,Croatia,All
2019-11-03,2,Croatia,All
2019-11-10,2,Croatia,All
2019-11-17,2,Croatia,All
2019-11-24,2,Croatia,All
2019-12-01,2,Croatia,All
2019-12-08,2,Croatia,All
2019-12-15,2,Croatia,All
2019-12-22,2,Croatia,All
2020-02-02,2,Croatia,All
2020-02-09,2,Croatia,All
2020-03-01,2,Croatia,All
2020-03-08,2,Croatia,All
2020-03-15,2,Croatia,All
2020-05-03,2,Croatia,All
2020-05-10,2,Croatia,All
2020-05-17,2,Croatia,All
2020-05-24,2,Croatia,All
2020-05-31,2,Croatia,All
2020-06-07,2,Croatia,All
2020-06-14,2,Croatia,All
2020-09-13,2,Croatia,All
2020-09-20,2,Croatia,All
2020-10-04,2,Croatia,All
2020-11-08,2,Croatia,All
2021-01-03,2,Croatia,All
2021-02-21,2,Croatia,All
2021-03-07,2,Croatia,All
2021-03-14,2,Croatia,All
2021-03-21,2,Croatia,All
2021-03-28,2,Croatia,All
2021-04-04,2,Croatia,All
2021-04-11,2,Croatia,All
2021-04-18,2,Croatia,All
2021-04-25,2,Croatia,All
2021-05-02,2,Croatia,All
